V1	V2	weight
3	28	0.4
3	106	0.2
3	147	0.8
3	177	0.2
3	295	0.8
3	407	0.4
15	21	0.8
15	48	0.8
15	200	0.8
15	211	0.6
15	242	0.6
15	480	0.6
15	771	0.6
15	791	0.6
15	826	0.8
15	845	0.8
20	634	0.8
21	15	0.4
21	200	0.6
21	826	0.6
28	295	0.8
28	327	0.8
28	407	0.8
28	441	0.8
28	478	0.8
45	48	0.8
45	79	0.8
45	134	0.2
45	232	0.2
45	601	0.4
48	45	0.8
48	79	0.6
48	488	0.4
62	650	0.6
65	681	0.8
65	809	0.8
79	45	0.8
79	601	0.4
87	134	0.8
87	211	0.8
87	242	0.8
87	388	0.8
87	488	0.8
87	496	0.2
87	826	0.8
89	120	0.8
89	232	0.8
89	285	0.8
89	488	0.8
101	119	0.4
101	240	0.4
101	364	0.4
101	425	0.8
106	272	0.8
106	587	0.6
106	1214	0.4
119	101	0.2
119	122	0.8
119	240	0.4
119	425	0.6
120	89	0.6
120	232	0.6
120	488	0.6
122	119	0.8
124	471	0.2
124	475	0.4
124	681	0.2
124	970	0.2
134	87	0.2
134	388	0.8
134	496	0.4
145	62	0.4
145	122	0.6
145	400	0.2
145	428	0.2
145	489	0.8
145	650	0.4
145	945	0.2
147	3	0.8
147	28	0.4
147	106	0.2
147	407	0.4
151	156	0.8
151	502	0.4
151	694	0.8
151	753	0.8
151	866	0.8
151	1359	0.2
156	454	0.2
156	694	0.2
159	201	0.8
159	454	0.8
159	640	0.8
159	642	0.8
165	268	0.8
165	498	0.6
170	272	0.8
170	494	0.2
170	778	0.4
173	295	0.8
173	429	0.8
173	441	0.8
177	400	0.8
177	407	0.6
177	809	0.4
177	857	0.6
177	945	0.8
200	15	0.8
200	21	0.8
200	448	0.6
200	601	0.8
200	751	0.8
200	826	0.8
201	245	0.8
201	582	0.4
210	89	0.8
210	120	0.4
210	200	0.8
210	232	0.8
210	285	0.4
210	468	0.6
210	751	0.8
210	845	0.6
211	242	0.8
211	468	0.8
211	488	0.8
211	845	0.8
232	89	0.8
232	120	0.6
232	285	0.6
232	488	0.6
240	101	0.6
240	425	0.6
242	87	0.8
242	211	0.8
242	388	0.8
242	468	0.8
242	480	0.8
242	791	0.8
245	201	0.8
245	502	0.4
245	691	0.8
245	869	0.8
245	1237	0.6
245	1423	0.4
255	122	0.8
255	275	0.8
265	364	0.8
265	494	0.8
265	587	0.8
268	28	0.6
268	165	0.8
268	407	0.6
268	504	0.8
272	106	0.8
272	372	0.4
275	255	0.8
275	650	0.4
285	89	0.6
285	120	0.8
285	232	0.6
285	468	0.8
285	488	0.6
285	845	0.8
295	28	0.4
295	954	0.4
327	28	0.8
327	295	0.8
327	372	0.2
327	478	0.8
364	101	0.6
364	265	0.8
364	268	0.6
364	425	0.6
364	650	0.6
372	272	0.4
372	429	0.6
372	441	0.4
372	478	0.8
388	45	0.4
388	79	0.4
388	87	0.6
388	134	0.8
388	496	0.8
400	145	0.2
400	177	0.8
400	407	0.4
400	428	0.2
400	489	0.2
400	857	0.6
400	945	0.8
400	984	0.4
407	3	0.6
407	28	0.4
407	65	0.6
407	147	0.6
407	268	0.4
407	429	0.6
407	441	0.6
407	809	0.4
425	101	0.8
425	119	0.6
425	122	0.2
425	240	0.6
425	364	0.4
428	145	0.2
428	240	0.6
428	400	0.2
428	489	0.8
428	927	0.6
428	945	0.4
429	327	0.6
429	372	0.6
429	441	0.8
429	478	0.6
441	295	0.8
441	372	0.6
441	407	0.6
441	429	0.8
441	478	0.6
441	504	0.8
448	21	0.8
448	89	0.2
448	134	0.8
448	200	0.4
448	210	0.2
448	211	0.2
448	388	0.6
448	496	0.8
448	751	0.6
448	826	0.4
448	845	0.2
454	640	0.2
454	874	0.2
468	120	0.8
468	210	0.8
468	211	0.4
468	242	0.4
468	285	0.2
468	388	0.8
468	601	0.8
468	845	0.8
471	65	0.2
471	124	0.6
471	272	0.2
471	372	0.4
471	475	0.8
471	478	0.4
471	681	0.8
471	809	0.2
471	970	0.8
475	124	0.4
475	471	0.8
475	681	0.8
478	372	0.8
478	429	0.6
478	441	0.6
480	21	0.2
480	771	0.8
480	791	0.8
488	48	0.8
489	145	0.8
489	400	0.2
489	428	0.8
489	945	0.2
494	106	0.6
494	170	0.2
494	265	0.8
494	272	0.6
494	364	0.8
494	587	0.8
494	778	0.6
496	687	0.2
498	165	0.4
502	151	0.2
502	201	0.2
502	245	0.2
502	582	0.8
502	634	0.2
502	691	0.2
502	866	0.2
502	869	0.2
504	28	0.6
504	165	0.8
504	295	0.8
504	407	0.8
504	429	0.6
504	441	0.8
520	576	0.8
520	605	0.4
525	159	0.2
525	577	0.8
525	640	0.2
525	694	0.8
576	520	0.8
576	605	0.4
577	525	0.4
577	694	0.8
582	201	0.4
582	605	0.2
582	642	0.4
587	106	0.2
587	265	0.6
587	272	0.2
587	364	0.2
587	494	0.6
587	778	0.8
587	1805	0.2
601	388	0.8
605	201	0.2
605	520	0.6
605	576	0.6
605	582	0.2
605	642	0.4
605	687	0.6
634	691	0.8
634	869	0.8
634	1332	0.8
640	159	0.4
640	454	0.4
640	642	0.2
642	159	0.8
642	201	0.4
642	454	0.8
642	582	0.4
642	640	0.8
642	691	0.2
650	268	0.4
650	275	0.2
650	364	0.2
681	65	0.8
681	124	0.4
681	471	0.8
681	809	0.8
681	970	0.8
687	582	0.8
687	605	0.8
691	245	0.6
691	502	0.6
691	634	0.8
691	869	0.8
691	1332	0.8
694	156	0.2
694	525	0.8
694	577	0.8
725	927	0.4
753	151	0.8
753	577	0.2
753	866	0.8
771	15	0.6
771	21	0.6
771	200	0.6
771	480	0.8
771	791	0.8
771	826	0.6
778	106	0.2
778	364	0.2
778	587	0.6
778	1805	0.4
791	15	0.8
791	21	0.8
791	448	0.8
791	480	0.8
791	771	0.8
809	65	0.8
809	681	0.8
826	15	0.8
826	21	0.8
826	200	0.8
826	601	0.8
845	15	0.8
845	48	0.8
845	200	0.6
845	210	0.4
845	211	0.8
845	232	0.2
845	242	0.8
845	285	0.2
845	448	0.2
845	826	0.6
857	400	0.2
857	498	0.6
857	945	0.2
857	954	0.4
866	151	0.6
866	156	0.8
866	159	0.6
866	502	0.4
866	640	0.6
866	694	0.8
866	753	0.8
866	1359	0.6
866	1401	0.6
869	502	0.4
869	634	0.6
869	691	0.8
874	454	0.2
927	725	0.4
945	65	0.6
945	145	0.2
945	177	0.6
945	400	0.8
945	407	0.6
945	428	0.2
945	489	0.2
945	857	0.6
945	984	0.6
954	119	0.2
954	295	0.4
954	428	0.4
954	691	0.4
954	725	0.6
954	857	0.4
954	945	0.2
970	471	0.8
970	475	0.8
970	681	0.8
984	28	0.8
984	177	0.8
984	400	0.8
984	945	0.8
984	1332	0.4
1201	1214	0.8
1201	1295	0.8
1201	1342	0.8
1201	1594	0.6
1201	1828	0.6
1204	1342	0.8
1204	1359	0.8
1214	106	0.4
1214	1295	0.8
1228	1295	0.4
1228	1401	0.6
1228	1423	0.4
1228	1485	0.2
1237	245	0.6
1237	1260	0.8
1237	1401	0.2
1237	1423	0.6
1238	605	0.4
1238	687	0.4
1260	1237	0.8
1295	106	0.4
1295	1214	0.8
1295	1228	0.8
1295	1342	0.6
1295	1401	0.6
1295	1594	0.2
1295	1805	0.8
1295	1828	0.2
1332	634	0.8
1332	691	0.8
1332	869	0.8
1342	1201	0.8
1342	1204	0.8
1342	1214	0.8
1342	1805	0.8
1345	1228	0.4
1345	1237	0.8
1345	1295	0.4
1345	1332	0.8
1345	1401	0.8
1345	1594	0.8
1345	1805	0.4
1345	1828	0.4
1359	1204	0.8
1359	1401	0.4
1359	1423	0.2
1401	1237	0.2
1401	1295	0.8
1401	1332	0.8
1401	1359	0.2
1401	1412	0.8
1412	1201	0.4
1412	1214	0.4
1412	1228	0.2
1412	1295	0.4
1412	1332	0.2
1412	1401	0.6
1412	1423	0.8
1412	1828	0.4
1423	1228	0.6
1423	1412	0.8
1423	1485	0.8
1485	1423	0.8
1594	1201	0.6
1594	1214	0.4
1594	1295	0.2
1594	1332	0.2
1594	1345	0.8
1594	1423	0.2
1594	1828	0.8
1805	106	0.2
1805	1214	0.2
1805	1295	0.8
1828	1201	0.8
1828	1214	0.2
1828	1237	0.2
1828	1295	0.2
1828	1412	0.2
1828	1423	0.4
1828	1594	0.8
