V1	V2	weight
1	11	0.20
1	15	0.90
1	16	0.37
1	41	0.60
1	43	0.33
1	48	0.79
2	18	0.38
2	20	0.44
2	27	0.54
2	28	0.39
2	29	0.06
2	37	0.43
2	42	0.04
2	55	0.49
3	11	0.15
3	43	0.38
3	45	0.61
3	62	0.79
4	9	0.87
4	15	0.54
4	60	0.55
5	52	0.56
6	10	0.95
6	14	0.55
6	57	0.98
6	58	0.31
7	10	0.20
7	14	0.75
7	18	0.74
7	55	0.55
7	57	0.79
7	58	0.99
8	20	0.61
8	28	0.64
8	31	0.33
8	41	0.27
8	55	0.30
9	21	0.31
9	29	0.69
9	38	0.86
9	46	0.63
9	60	0.46
10	14	0.36
10	18	0.70
10	33	0.53
10	42	0.92
10	58	0.49
11	30	0.04
11	43	0.37
11	48	0.16
12	52	0.66
13	34	0.93
14	18	0.31
14	33	0.51
14	42	0.91
14	55	0.26
14	58	0.95
15	17	0.16
15	25	0.07
15	34	0.08
15	35	0.60
15	38	0.71
15	39	0.04
15	41	0.94
15	44	0.07
15	51	0.91
15	53	0.71
16	19	0.68
16	25	0.66
16	41	0.01
16	46	0.67
16	56	0.11
16	60	0.11
17	21	0.17
17	34	0.77
17	38	0.91
17	39	0.32
17	51	0.48
18	23	0.04
18	26	0.69
18	28	0.67
18	32	0.75
18	58	0.07
19	21	0.70
19	22	0.48
19	25	0.03
19	30	0.62
19	46	0.51
19	52	0.17
20	31	0.37
20	55	0.67
21	29	0.26
21	37	0.09
21	39	0.59
21	45	0.93
21	48	0.11
21	51	0.54
22	30	0.64
22	34	0.97
22	38	0.36
22	46	0.36
22	52	0.55
24	37	0.50
24	46	0.67
24	52	0.11
25	30	0.35
25	46	0.04
25	52	0.09
26	27	0.44
26	28	0.03
27	28	0.33
29	31	0.85
29	48	0.34
30	36	0.28
30	44	0.44
30	46	0.66
30	52	0.17
30	53	0.21
31	43	0.95
31	48	0.20
33	61	0.52
34	35	0.55
34	38	0.09
34	39	0.93
34	41	0.34
34	44	0.42
34	51	0.39
35	38	0.21
35	45	0.60
35	50	0.14
37	38	0.21
37	40	0.71
37	41	0.18
37	60	0.24
38	41	0.37
38	44	0.12
38	46	0.97
38	62	0.42
39	44	0.45
39	45	0.33
39	53	0.98
39	59	0.38
40	58	0.10
41	53	0.15
42	55	0.89
42	58	0.11
43	48	0.33
43	51	0.30
44	47	0.76
44	54	0.14
46	51	0.56
46	52	0.12
46	60	0.59
47	50	0.15
49	58	0.73
51	52	0.09
52	56	0.40
54	62	0.57
55	58	0.16

