V1	V2	weight
1	2	0.51
1	3	0.64
1	4	0.67
1	5	0.59
1	6	0.17
1	7	0.27
2	4	0.50
2	6	0.76
2	7	0.55
3	5	0.64
3	6	0.84
3	8	0.45
4	6	0.42
4	9	0.22
4	10	0.21
4	11	0.38
4	12	0.04
4	13	0.56
4	14	0.96
4	15	0.08
4	16	0.07
4	17	0.16
4	18	0.45
4	19	0.53
4	20	0.27
4	21	0.25
4	22	0.80
4	23	0.06
4	24	0.76
4	25	0.61
4	26	0.98
4	27	0.62
4	28	0.18
5	6	0.74
5	7	0.16
5	29	0.11
5	30	0.20
5	31	0.25
5	32	0.23
6	7	0.13
6	8	0.07
7	8	0.10
7	11	0.36
7	13	0.68
7	19	0.62
7	23	0.26
7	26	0.65
7	30	0.27
8	15	0.96
8	31	0.92
8	59	0.68
8	72	0.19
8	86	0.17
9	10	0.76
9	11	0.21
9	12	0.91
9	13	0.49
9	14	0.05
9	15	0.44
9	21	0.49
9	22	0.87
9	23	0.32
9	24	0.08
9	25	0.95
9	27	0.91
9	28	0.75
9	33	0.78
9	34	0.33
9	36	0.53
9	38	0.08
9	41	0.11
9	42	0.58
9	43	0.95
9	44	0.74
9	45	0.05
9	46	0.65
9	47	0.21
10	12	0.89
10	13	0.16
10	15	0.12
10	21	0.92
10	25	0.39
10	28	0.47
10	42	0.71
10	46	0.02
10	48	0.14
10	49	0.64
10	50	0.25
10	51	0.34
10	52	0.71
10	53	0.36
11	12	0.31
11	13	0.01
11	16	0.96
11	17	0.66
11	20	0.63
11	22	0.79
11	34	0.91
11	36	0.40
11	38	0.45
11	39	0.36
11	40	0.06
11	56	0.54
12	13	0.31
12	14	0.56
12	15	0.43
12	18	0.63
12	21	0.62
12	22	0.32
12	23	0.07
12	27	0.53
12	28	0.38
12	30	0.84
12	46	0.92
12	48	0.96
12	51	0.67
12	57	0.25
13	14	0.98
13	15	0.17
13	16	0.14
13	18	0.08
13	19	0.89
13	24	0.60
13	25	0.27
13	33	0.13
13	34	0.02
13	37	0.39
13	39	0.78
13	40	0.76
13	41	0.14
13	42	0.06
13	45	0.01
13	47	0.69
13	48	0.50
13	55	0.99
13	56	0.71
14	18	0.70
14	30	0.24
14	33	0.28
14	41	0.64
14	43	0.65
14	44	0.73
14	45	0.81
14	48	0.53
14	58	0.61
15	26	0.65
15	27	0.18
15	59	0.23
16	17	0.56
16	56	0.28
18	48	0.47
20	56	0.60
20	57	0.57
20	78	0.60
21	25	0.27
21	41	0.89
21	49	0.45
21	50	0.30
21	54	0.25
21	58	0.29
22	24	0.27
23	26	0.66
23	41	0.90
23	53	0.09
24	28	0.54
24	33	0.44
24	34	0.82
24	48	0.66
24	55	0.99
25	27	0.57
25	41	0.24
25	48	0.02
25	54	0.42
26	41	0.06
27	41	0.03
27	46	0.58
27	48	0.72
27	54	0.03
28	41	0.73
28	42	0.02
28	48	0.01
28	55	0.55
29	67	0.37
29	73	0.49
31	32	0.97
31	59	0.45
31	67	0.90
31	68	0.76
31	71	0.42
31	74	0.41
31	75	0.27
31	76	0.02
31	77	0.79
31	78	0.81
31	80	0.24
31	81	0.02
31	83	0.23
31	84	0.43
31	85	0.99
31	87	0.86
31	94	0.49
31	100	0.02
32	50	0.02
32	74	0.46
32	75	0.11
32	76	0.03
32	77	0.13
32	78	0.53
32	79	0.03
32	83	0.02
32	92	0.38
33	34	0.07
34	38	0.13
34	39	0.26
34	40	0.92
34	48	0.80
35	36	0.17
35	37	0.47
35	38	0.68
35	39	0.89
35	40	0.23
36	37	0.34
36	38	0.61
36	39	0.68
36	40	0.93
36	41	0.22
36	44	0.18
36	45	0.66
37	42	0.12
37	48	0.04
38	39	0.92
38	48	0.65
39	40	0.53
40	41	0.97
40	43	0.51
41	42	0.19
41	43	0.84
41	45	0.88
41	46	0.92
41	48	0.13
41	54	0.61
41	55	0.17
42	48	0.92
42	55	0.90
43	44	0.46
43	48	0.63
44	57	0.72
46	48	0.81
47	48	0.75
47	103	0.07
48	55	0.36
49	50	0.86
49	58	0.82
50	58	0.76
50	59	0.38
50	73	0.27
50	77	0.82
51	59	0.42
52	53	0.15
52	59	0.56
52	65	0.08
52	66	0.80
52	70	0.41
53	59	0.29
53	65	0.85
54	77	0.02
57	58	0.67
59	65	0.19
59	66	0.34
59	69	0.68
59	70	0.55
59	78	0.15
59	86	0.31
60	61	0.57
60	62	0.46
60	63	0.64
60	64	0.71
60	100	0.44
61	63	0.67
61	64	0.89
61	85	0.25
61	87	0.01
61	100	0.19
62	87	0.77
62	96	0.06
62	102	0.23
63	64	0.60
63	85	0.06
63	100	0.79
63	101	0.51
64	100	0.73
65	66	0.57
65	67	0.18
65	68	0.42
65	69	0.10
65	70	0.20
65	71	0.12
66	68	0.69
66	69	0.18
66	70	0.54
66	86	0.39
67	68	0.55
67	71	0.69
67	73	0.26
67	74	0.16
67	75	0.31
67	77	0.19
67	81	0.36
67	85	0.42
67	86	0.94
67	87	0.87
67	89	0.38
67	90	0.62
67	91	0.12
67	94	0.89
67	97	0.88
67	98	0.10
67	100	0.03
67	101	0.08
68	104	0.99
68	105	0.69
69	72	0.74
70	105	0.26
71	72	0.70
71	73	0.71
71	76	0.05
71	91	0.52
72	73	0.42
72	74	0.89
72	75	0.07
72	76	0.72
72	77	0.41
72	78	0.74
72	79	0.49
72	80	0.39
72	81	0.86
72	82	0.84
72	83	0.38
72	84	0.09
73	74	0.23
73	75	0.21
73	76	0.17
73	77	0.22
73	79	0.97
73	80	0.37
73	81	0.91
73	83	0.01
73	85	0.66
73	86	0.56
73	87	0.76
73	88	0.91
73	89	0.33
73	90	0.46
73	91	0.09
73	92	0.50
73	93	0.96
74	75	0.54
74	76	0.41
74	83	0.11
74	84	0.80
74	85	0.53
74	87	0.94
74	90	0.12
74	93	0.89
74	94	0.20
74	95	0.11
74	96	0.14
74	97	0.84
74	98	0.31
74	99	0.45
74	100	0.89
74	101	0.64
75	76	0.46
75	79	0.94
75	80	0.34
75	83	0.55
